effective_id	display_name	match_tier	source	donor_cid	real_prog_count	prog_fp	sample_titles
8K: beIN SP⚽RTS MAX 3 AR ʰᵉᵛᶜ	beIN Sports MAX 3 Arabic HEVC [8K]	bein-override	bein-epg	beINSportsMax3.qa@MENA	61	24d64560eb	My World Cup : Michael Owen | My World Cup: Kaka | My World Cup : Marcel Desailly
8K: beIN SP⚽RTS MAX 3 AR ᴴᴰ	beIN Sports MAX 3 Arabic HD [8K]	bein-override	bein-epg	beINSportsMax3.qa@MENA	61	24d64560eb	My World Cup : Michael Owen | My World Cup: Kaka | My World Cup : Marcel Desailly
8K: beIN SP⚽RTS MAX 3 AR ᴿᴬᵂ	beIN Sports MAX 3 Arabic RAW [8K]	bein-override	bein-epg	beINSportsMax3.qa@MENA	61	24d64560eb	My World Cup : Michael Owen | My World Cup: Kaka | My World Cup : Marcel Desailly
8K: beIN SP⚽RTS MAX 4 AR ʰᵉᵛᶜ	beIN Sports MAX 4 Arabic HEVC [8K]	bein-override	bein-epg	beINSportsMax4.qa@MENA	70	af1d7d31dc	South Korea vs Czech Republic  -  FIFA World Cup 2026 | Qatar  -  Teams 2026 | Morocco  -  Teams 2026
8K: beIN SP⚽RTS MAX 4 AR ᴴᴰ	beIN Sports MAX 4 Arabic HD [8K]	bein-override	bein-epg	beINSportsMax4.qa@MENA	70	af1d7d31dc	South Korea vs Czech Republic  -  FIFA World Cup 2026 | Qatar  -  Teams 2026 | Morocco  -  Teams 2026
8K: beIN SP⚽RTS MAX 4 AR ᴿᴬᵂ	beIN Sports MAX 4 Arabic RAW [8K]	bein-override	bein-epg	beINSportsMax4.qa@MENA	70	af1d7d31dc	South Korea vs Czech Republic  -  FIFA World Cup 2026 | Qatar  -  Teams 2026 | Morocco  -  Teams 2026
8K: beIN SP⚽RTS MAX 5 EN ʰᵉᵛᶜ	beIN Sports MAX 5 English HEVC [8K]	bein-override	bein-epg	beINSportsMax5.qa@MENA	48	5fdf8a9049	🔴 LIVE: Canada vs Bosnia and Herzegovina  -  FIFA World Cup 2026 | Mexico vs South Africa  -  FIFA World Cup 2026 | South Korea vs Czech Republic  -  FIFA World Cup 2026
8K: beIN SP⚽RTS MAX 5 EN ᴴᴰ	beIN Sports MAX 5 English HD [8K]	bein-override	bein-epg	beINSportsMax5.qa@MENA	48	5fdf8a9049	🔴 LIVE: Canada vs Bosnia and Herzegovina  -  FIFA World Cup 2026 | Mexico vs South Africa  -  FIFA World Cup 2026 | South Korea vs Czech Republic  -  FIFA World Cup 2026
8K: beIN SP⚽RTS MAX 5 EN ᴿᴬᵂ	beIN Sports MAX 5 English RAW [8K]	bein-override	bein-epg	beINSportsMax5.qa@MENA	48	5fdf8a9049	🔴 LIVE: Canada vs Bosnia and Herzegovina  -  FIFA World Cup 2026 | Mexico vs South Africa  -  FIFA World Cup 2026 | South Korea vs Czech Republic  -  FIFA World Cup 2026
8K: beIN SP⚽RTS SOLO MAX AR ᴴᴰ	beIN Sports Solo MAX Arabic HD [8K]	dummy			0		
